Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 11059,Claim 92205,Low,Low
Truck 30965,Claim 92206,Low,Low
Truck 41520,Claim 92207,Low,Low
Truck 37254,Claim 92208,Low,Low
Truck 46020,Claim 92209,Low,Low
Truck 7833,Claim 92210,Low,Very Low
Truck 13998,Claim 92211,Low,Very Low
Truck 7840,Claim 92212,Low,Low
Truck 34232,Claim 92213,Low,Low
Truck 27087,Claim 92214,Low,Very Low
Truck 41993,Claim 92215,Low,Low
Truck 40908,Claim 92216,Low,Very Low
Truck 13609,Claim 92217,Low,Low
Truck 45208,Claim 92218,Low,Low
Truck 41114,Claim 92219,Low,Very Low
Truck 45764,Claim 92220,Low,Very Low
Truck 23569,Claim 92221,Low,Low
Truck 46525,Claim 92222,Low,Low
Truck 42828,Claim 92223,Low,Low
Truck 16565,Claim 92224,Low,Low
Truck 7766,Claim 92225,Low,Low
Truck 31248,Claim 92226,Low,Low
Truck 20898,Claim 92227,Low,Low
Truck 19165,Claim 92228,Low,Very Low
Truck 38922,Claim 92229,Low,Low
Truck 19152,Claim 92230,Low,Low
Truck 45719,Claim 92231,Low,Low
Truck 41537,Claim 92232,Low,Low
Truck 45483,Claim 92233,Low,Very Low
Truck 16866,Claim 92234,Low,Low
Truck 15776,Claim 92235,Low,Very Low
Truck 19206,Claim 92236,Low,Low
Truck 7279,Claim 92237,Low,Low
Truck 8077,Claim 92238,Low,Low
Truck 46164,Claim 92239,Low,Very Low
Truck 45624,Claim 92240,Low,Very Low
Truck 45624,Claim 92241,Low,Very Low
Truck 45591,Claim 92242,Low,Low
Truck 45542,Claim 92243,Low,Low
Truck 23083,Claim 92244,Low,Low
Truck 9949,Claim 92245,Low,Low
Truck 12965,Claim 92246,Low,Low
Truck 32034,Claim 92247,Low,Low
Truck 19840,Claim 92248,Low,Low
Truck 31407,Claim 92249,Low,Low
Truck 33661,Claim 92250,Low,Low
Truck 29126,Claim 92251,Low,Low
Truck 21103,Claim 92252,Low,Low
Truck 31365,Claim 92253,Low,Low
Truck 13658,Claim 92254,Low,Very Low
Truck 31609,Claim 92255,Low,Very Low
Truck 32792,Claim 92256,Low,Very Low
Truck 32903,Claim 92257,Low,Very Low
Truck 32906,Claim 92258,Low,Very Low
Truck 32913,Claim 92259,Low,Very Low
Truck 9127,Claim 92260,Low,Low
Truck 16888,Claim 92261,Low,Low
Truck 36798,Claim 92262,Low,Low
Truck 11407,Claim 92263,Low,Very Low
Truck 22978,Claim 92264,Low,Low
Truck 47317,Claim 92265,Low,Low
Truck 14496,Claim 92266,Low,Low
Truck 36815,Claim 92267,Low,Low
Truck 14497,Claim 92268,Low,Low
Truck 14493,Claim 92269,Low,Low
Truck 4493,Claim 92270,Low,Low
Truck 35504,Claim 92271,Low,Low
Truck 26250,Claim 92272,Low,Low
Truck 11197,Claim 92273,Low,Very Low
Truck 11281,Claim 92274,Low,Very Low
Truck 6495,Claim 92275,Low,Low
Truck 36440,Claim 92276,Low,Low
Truck 14017,Claim 92277,Low,Very Low
Truck 9794,Claim 92278,Low,Very Low
Truck 9734,Claim 92279,Low,Low
Truck 15002,Claim 92280,Low,Low
Truck 37083,Claim 92281,Medium,Medium
Truck 9534,Claim 92282,Low,Low
Truck 16877,Claim 92283,Low,Low
Truck 9167,Claim 92284,Low,Low
Truck 12560,Claim 92285,Low,Low
Truck 23258,Claim 92286,Low,Low
Truck 38213,Claim 92287,Low,Low
Truck 31585,Claim 92288,Low,Very Low
Truck 835,Claim 92289,Low,Very Low
Truck 20922,Claim 92290,Low,Low
Truck 3110,Claim 92291,Low,Low
Truck 35932,Claim 92292,Low,Low
Truck 11848,Claim 92293,Low,Very Low
Truck 39022,Claim 92294,Low,Low
Truck 17819,Claim 92295,Low,Low
Truck 26545,Claim 92296,Low,Low
Truck 23526,Claim 92297,Low,Low
Truck 45562,Claim 92298,Low,Very Low
Truck 14245,Claim 92299,Low,Low
Truck 45148,Claim 92300,Low,Low
Truck 4464,Claim 92301,Low,Very Low
Truck 19415,Claim 92302,Low,Very Low
Truck 40873,Claim 92303,Low,Low
Truck 27738,Claim 92304,Low,Low
Truck 29398,Claim 92305,Low,Low
Truck 12189,Claim 92306,Low,Low
Truck 4631,Claim 92307,Low,Low
Truck 8248,Claim 92308,Low,Very Low
Truck 42441,Claim 92309,Low,Very Low
Truck 21100,Claim 92310,Low,Low
Truck 21091,Claim 92311,Low,Low
Truck 9279,Claim 92312,Low,Low
Truck 32265,Claim 92313,Low,Low
Truck 33646,Claim 92314,Low,Low
Truck 10300,Claim 92315,Low,Low
Truck 44285,Claim 92316,Low,Very Low
Truck 8326,Claim 92317,Low,Low
Truck 24169,Claim 92318,Low,Low
Truck 11854,Claim 92319,Low,Very Low
Truck 18600,Claim 92320,Low,Very Low
Truck 21535,Claim 92321,Low,Very Low
Truck 25523,Claim 92322,Low,Very Low
Truck 48116,Claim 92323,Low,Low
Truck 39511,Claim 92324,Low,Low
Truck 40876,Claim 92325,Low,Low
Truck 23214,Claim 92326,Low,Low
Truck 1001,Claim 92327,Low,Very Low
Truck 18875,Claim 92328,Low,Low
Truck 25101,Claim 92329,Low,Low
Truck 19362,Claim 92330,Low,Low
Truck 40939,Claim 92331,Low,Low
Truck 23795,Claim 92332,Low,Very Low
Truck 10921,Claim 92333,Low,Low
Truck 26824,Claim 92334,Low,Low
Truck 27718,Claim 92335,Low,Low
Truck 43709,Claim 92336,Low,Low
Truck 44596,Claim 92337,Low,Low
Truck 23952,Claim 92338,Low,Low
Truck 14571,Claim 92339,Low,Low
Truck 32653,Claim 92340,Low,Low
Truck 29279,Claim 92341,Low,Low
Truck 38907,Claim 92342,Low,Low
Truck 30317,Claim 92343,Low,Low
Truck 30598,Claim 92344,Low,Low
Truck 1325,Claim 92345,Low,Low
Truck 40125,Claim 92346,Low,Low
Truck 29350,Claim 92347,Low,Very Low
Truck 21665,Claim 92348,Low,Low
Truck 1699,Claim 92349,Low,Low
Truck 36210,Claim 92350,Medium,Low
Truck 7995,Claim 92351,Low,Low
Truck 35294,Claim 92352,Low,Low
Truck 25749,Claim 92353,Low,Low
Truck 30673,Claim 92354,Low,Very Low
Truck 10066,Claim 92355,Low,Low
Truck 17300,Claim 92356,Low,Low
Truck 17700,Claim 92357,Low,Low
Truck 8171,Claim 92358,Low,Low
Truck 7982,Claim 92359,Low,Low
Truck 43998,Claim 92360,Low,Low
Truck 29238,Claim 92361,Low,Very Low
Truck 44280,Claim 92362,Low,Very Low
Truck 32117,Claim 92363,Low,Low
Truck 32269,Claim 92364,Low,Low
Truck 26203,Claim 92365,Low,Low
Truck 21121,Claim 92366,Low,Low
Truck 35804,Claim 92367,Low,Low
Truck 19389,Claim 92368,Low,Low
Truck 18798,Claim 92369,Low,Low
Truck 45290,Claim 92370,Low,Low
Truck 38510,Claim 92371,Low,Low
Truck 47386,Claim 92372,Low,Low
Truck 8367,Claim 92373,Low,Low
Truck 23381,Claim 92374,Low,Very Low
Truck 23384,Claim 92375,Low,Very Low
Truck 23385,Claim 92376,Low,Very Low
Truck 23374,Claim 92377,Low,Very Low
Truck 23383,Claim 92378,Low,Very Low
Truck 23373,Claim 92379,Low,Very Low
Truck 23387,Claim 92380,Low,Very Low
Truck 23379,Claim 92381,Low,Very Low
Truck 23378,Claim 92382,Low,Very Low
Truck 23380,Claim 92383,Low,Very Low
Truck 23376,Claim 92384,Low,Very Low
Truck 23382,Claim 92385,Low,Very Low
Truck 23377,Claim 92386,Low,Very Low
Truck 23386,Claim 92387,Low,Very Low
Truck 3190,Claim 92388,Low,Very Low
Truck 37756,Claim 92389,Low,Low
Truck 45463,Claim 92390,Low,Low
Truck 4813,Claim 92391,Low,Low
Truck 4268,Claim 92392,Low,Very Low
Truck 9159,Claim 92393,Low,Very Low
Truck 27652,Claim 92394,Low,Very Low
Truck 11157,Claim 92395,Low,Very Low
Truck 32963,Claim 92396,Low,Low
Truck 15269,Claim 92397,Low,Low
Truck 43759,Claim 92398,Low,Very Low
Truck 25577,Claim 92399,Low,Low
Truck 4688,Claim 92400,Low,Low
Truck 32244,Claim 92401,Low,Low
Truck 32505,Claim 92402,Low,Low
Truck 14183,Claim 92403,Low,Low
Truck 33862,Claim 92404,Low,Low
Truck 1105,Claim 92405,Low,Low
Truck 20052,Claim 92406,Low,Low
Truck 29729,Claim 92407,Low,Low
Truck 5059,Claim 92408,Low,Low
Truck 7587,Claim 92409,Low,Low
Truck 15888,Claim 92410,Low,Low
Truck 10746,Claim 92411,Low,Low
Truck 39428,Claim 92412,Low,Low
Truck 18248,Claim 92413,Low,Low
Truck 1,Claim 92414,Low,Low
Truck 8060,Claim 92415,Low,Very Low
Truck 28922,Claim 92416,Low,Low
Truck 35037,Claim 92417,Low,Low
Truck 17697,Claim 92418,Low,Low
Truck 22359,Claim 92419,Low,Very Low
Truck 18934,Claim 92420,Low,Low
Truck 28161,Claim 92421,Low,Low
Truck 26703,Claim 92422,Low,Low
Truck 28156,Claim 92423,Low,Low
Truck 22770,Claim 92424,Low,Very Low
Truck 26743,Claim 92425,Low,Very Low
Truck 13143,Claim 92426,Low,Low
Truck 7185,Claim 92427,Low,Very Low
Truck 40976,Claim 92428,Low,Low
Truck 1838,Claim 92429,Low,Low
Truck 948,Claim 92430,Low,Low
Truck 5804,Claim 92431,Low,Low
Truck 19612,Claim 92432,Low,Low
Truck 5295,Claim 92433,Low,Low
Truck 21798,Claim 92434,Low,Low
Truck 45940,Claim 92435,Low,Low
Truck 29178,Claim 92436,Low,Very Low
Truck 11258,Claim 92437,Low,Low
Truck 4475,Claim 92438,Low,Very Low
Truck 17689,Claim 92439,Low,Low
Truck 26852,Claim 92440,Low,Very Low
Truck 46230,Claim 92441,Low,Low
Truck 32517,Claim 92442,Low,Low
Truck 29411,Claim 92443,Low,Very Low
Truck 46727,Claim 92444,Low,Low
Truck 41464,Claim 92445,Low,Low
Truck 38858,Claim 92446,Low,Low
Truck 3144,Claim 92447,Low,Very Low
Truck 19984,Claim 92448,Low,Low
Truck 30976,Claim 92449,Low,Low
Truck 14892,Claim 92450,Low,Low
Truck 26585,Claim 92451,Low,Low
Truck 1833,Claim 92452,Low,Low
Truck 8448,Claim 92453,Low,Low
Truck 12669,Claim 92454,Low,Low
Truck 11891,Claim 92455,Low,Very Low
Truck 25084,Claim 92456,Low,Low
Truck 37075,Claim 92457,Low,Low
Truck 10706,Claim 92458,Low,Very Low
Truck 41459,Claim 92459,Low,Low
Truck 48004,Claim 92460,Low,Low
Truck 490,Claim 92461,Low,Very Low
Truck 1890,Claim 92462,Low,Low
Truck 17360,Claim 92463,Low,Very Low
Truck 29637,Claim 92464,Low,Low
Truck 29684,Claim 92465,Low,Low
Truck 16937,Claim 92466,Low,Very Low
Truck 47190,Claim 92467,Low,Very Low
Truck 5296,Claim 92468,Low,Very Low
Truck 33448,Claim 92469,Low,Low
Truck 5682,Claim 92470,Low,Low
Truck 22931,Claim 92471,Low,Low
Truck 10923,Claim 92472,Low,Low
Truck 20979,Claim 92473,Low,Low
Truck 42590,Claim 92474,Low,Low
Truck 42590,Claim 92475,Low,Low
Truck 46627,Claim 92476,Low,Low
Truck 4797,Claim 92477,Low,Low
Truck 46686,Claim 92478,Low,Very Low
Truck 27906,Claim 92479,Low,Very Low
Truck 48005,Claim 92480,Low,Very Low
Truck 29247,Claim 92481,Low,Very Low
Truck 16318,Claim 92482,Low,Low
Truck 42741,Claim 92483,Low,Very Low
Truck 8777,Claim 92484,Low,Very Low
Truck 40375,Claim 92485,Low,Low
Truck 40374,Claim 92486,Low,Low
Truck 40370,Claim 92487,Low,Low
Truck 40376,Claim 92488,Low,Low
Truck 40371,Claim 92489,Low,Low
Truck 40378,Claim 92490,Low,Low
Truck 40377,Claim 92491,Low,Low
Truck 11174,Claim 92492,Low,Low
Truck 38614,Claim 92493,Low,Low
Truck 8681,Claim 92494,Low,Very Low
Truck 36029,Claim 92495,Low,Low
Truck 39905,Claim 92496,Medium,Low
Truck 17819,Claim 92497,Low,Very Low
Truck 273,Claim 92498,Low,Very Low
Truck 12565,Claim 92499,Low,Very Low
Truck 23590,Claim 92500,Low,Low
Truck 17685,Claim 92501,Low,Low
Truck 3036,Claim 92502,Low,Low
Truck 19776,Claim 92503,Low,Low
Truck 10213,Claim 92504,Low,Very Low
Truck 8980,Claim 92505,Low,Low
Truck 12876,Claim 92506,Low,Low
Truck 39991,Claim 92507,Low,Low
Truck 372,Claim 92508,Low,Low
Truck 31168,Claim 92509,Low,Low
Truck 36803,Claim 92510,Low,Low
Truck 18301,Claim 92511,Low,Low
Truck 9179,Claim 92512,Low,Low
Truck 35806,Claim 92513,Low,Low
Truck 44909,Claim 92514,Low,Very Low
Truck 39566,Claim 92515,Low,Low
Truck 9686,Claim 92516,Low,Very Low
Truck 32001,Claim 92517,Low,Very Low
Truck 32733,Claim 92518,Low,Low
Truck 38587,Claim 92519,Low,Very Low
Truck 15770,Claim 92520,Low,Low
Truck 17473,Claim 92521,Low,Low
Truck 7257,Claim 92522,Low,Very Low
Truck 5391,Claim 92523,Low,Low
Truck 12869,Claim 92524,Low,Low
Truck 22285,Claim 92525,Low,Low
Truck 46469,Claim 92526,Low,Low
Truck 10745,Claim 92527,Low,Low
Truck 35967,Claim 92528,Low,Low
Truck 33212,Claim 92529,Low,Low
Truck 44370,Claim 92530,Low,Low
Truck 18352,Claim 92531,Low,Low
Truck 44899,Claim 92532,Low,Low
Truck 10929,Claim 92533,Low,Low
Truck 44139,Claim 92534,Low,Very Low
Truck 30441,Claim 92535,Low,Low
Truck 44123,Claim 92536,Low,Low
Truck 23935,Claim 92537,Low,Low
Truck 23143,Claim 92538,Low,Low
Truck 9497,Claim 92539,Low,Low
Truck 19185,Claim 92540,Low,Low
Truck 14707,Claim 92541,Low,Low
Truck 37980,Claim 92542,Low,Very Low
Truck 31686,Claim 92543,Low,Low
Truck 44657,Claim 92544,Low,Very Low
Truck 38906,Claim 92545,Low,Low
Truck 46214,Claim 92546,Low,Low
Truck 21149,Claim 92547,Low,Low
Truck 11387,Claim 92548,Low,Low
Truck 38847,Claim 92549,Low,Very Low
Truck 46018,Claim 92550,Low,Very Low
Truck 45942,Claim 92551,Low,Low
Truck 14001,Claim 92552,Low,Low
Truck 13083,Claim 92553,Low,Very Low
Truck 32037,Claim 92554,Low,Very Low
Truck 35083,Claim 92555,Low,Very Low
Truck 35053,Claim 92556,Low,Low
Truck 24481,Claim 92557,Low,Low
Truck 3173,Claim 92558,Low,Low
Truck 11366,Claim 92559,Low,Very Low
Truck 13609,Claim 92560,Low,Very Low
Truck 40453,Claim 92561,Low,Low
Truck 46619,Claim 92562,Low,Low
Truck 36710,Claim 92563,Low,Low
Truck 37365,Claim 92564,Low,Low
Truck 27111,Claim 92565,Low,Low
Truck 7590,Claim 92566,Low,Low
Truck 23040,Claim 92567,Low,Low
Truck 33787,Claim 92568,Low,Low
Truck 7459,Claim 92569,Low,Low
Truck 29359,Claim 92570,Low,Very Low
Truck 44878,Claim 92571,Low,Low
Truck 21345,Claim 92572,Low,Very Low
Truck 47163,Claim 92573,Low,Very Low
Truck 39059,Claim 92574,Low,Very Low
Truck 47437,Claim 92575,Low,Low
Truck 13703,Claim 92576,Low,Low
Truck 33181,Claim 92577,Low,Low
Truck 46269,Claim 92578,Low,Low
Truck 15990,Claim 92579,Low,Low
Truck 6883,Claim 92580,Low,Low
Truck 25109,Claim 92581,Low,Low
Truck 15999,Claim 92582,Low,Very Low
Truck 8166,Claim 92583,Low,Low
Truck 33367,Claim 92584,Low,Low
Truck 11057,Claim 92585,Low,Low
Truck 8117,Claim 92586,Low,Very Low
Truck 23777,Claim 92587,Low,Very Low
Truck 39463,Claim 92588,Low,Very Low
Truck 4305,Claim 92589,Low,Low
Truck 17819,Claim 92590,Low,Low
Truck 3816,Claim 92591,Low,Very Low
Truck 14493,Claim 92592,Low,Low
Truck 24453,Claim 92593,Low,Low
Truck 18482,Claim 92594,Low,Low
Truck 13999,Claim 92595,Low,Low
Truck 37640,Claim 92596,Low,Low
Truck 37829,Claim 92597,Low,Very Low
Truck 10082,Claim 92598,Low,Low
Truck 20734,Claim 92599,Low,Very Low
Truck 42407,Claim 92600,Low,Very Low
Truck 26929,Claim 92601,Low,Low
Truck 27023,Claim 92602,Low,Very Low
Truck 26991,Claim 92603,Low,Very Low
Truck 2949,Claim 92604,Low,Low
Truck 27007,Claim 92605,Low,Low
Truck 2916,Claim 92606,Low,Low
Truck 41566,Claim 92607,Low,Low
Truck 21943,Claim 92608,Low,Low
Truck 9388,Claim 92609,Low,Low
Truck 24253,Claim 92610,Low,Very Low
Truck 18893,Claim 92611,Low,Low
Truck 47161,Claim 92612,Low,Very Low
Truck 24740,Claim 92613,Low,Low
Truck 22377,Claim 92614,Low,Low
Truck 2787,Claim 92615,Low,Low
Truck 17672,Claim 92616,Low,Low
Truck 38385,Claim 92617,Low,Low
Truck 12801,Claim 92618,Low,Very Low
Truck 13530,Claim 92619,Low,Low
Truck 6265,Claim 92620,Low,Low
Truck 3922,Claim 92621,Low,Low
Truck 40315,Claim 92622,Low,Low
Truck 17844,Claim 92623,Low,Very Low
Truck 35977,Claim 92624,Low,Very Low
Truck 40175,Claim 92625,Low,Very Low
Truck 9365,Claim 92626,Low,Low
Truck 18912,Claim 92627,Low,Low
Truck 42913,Claim 92628,Low,Very Low
Truck 41440,Claim 92629,Medium,Medium
Truck 39413,Claim 92630,Low,Very Low
Truck 8997,Claim 92631,Low,Low
Truck 45076,Claim 92632,Low,Low
Truck 78,Claim 92633,Low,Low
Truck 4453,Claim 92634,Low,Very Low
Truck 21869,Claim 92635,Low,Very Low
Truck 26802,Claim 92636,Low,Very Low
Truck 24380,Claim 92637,Low,Low
Truck 3095,Claim 92638,Low,Low
Truck 38907,Claim 92639,Low,Low
Truck 27163,Claim 92640,Low,Very Low
Truck 3413,Claim 92641,Low,Very Low
Truck 8848,Claim 92642,Low,Low
Truck 24052,Claim 92643,Low,Low
Truck 11146,Claim 92644,Low,Very Low
Truck 45058,Claim 92645,Low,Low
Truck 17353,Claim 92646,Low,Very Low
Truck 16768,Claim 92647,Low,Low
Truck 28155,Claim 92648,Low,Low
Truck 29959,Claim 92649,Low,Low
Truck 18005,Claim 92650,Low,Very Low
Truck 45185,Claim 92651,Low,Low
Truck 25355,Claim 92652,Low,Very Low
Truck 46578,Claim 92653,Low,Low
Truck 19600,Claim 92654,Low,Low
Truck 18606,Claim 92655,Low,Low
Truck 9869,Claim 92656,Low,Very Low
Truck 3481,Claim 92657,Low,Low
Truck 25498,Claim 92658,Low,Very Low
Truck 29109,Claim 92659,Low,Low
Truck 20903,Claim 92660,Low,Low
Truck 16911,Claim 92661,Low,Low
Truck 3906,Claim 92662,Low,Low
Truck 12773,Claim 92663,Low,Low
Truck 40905,Claim 92664,Low,Low
Truck 24043,Claim 92665,Low,Low
Truck 5518,Claim 92666,Low,Very Low
Truck 39958,Claim 92667,Low,Very Low
Truck 31489,Claim 92668,Low,Low
Truck 38735,Claim 92669,Low,Very Low
Truck 19199,Claim 92670,Low,Low
Truck 15093,Claim 92671,Low,Very Low
Truck 6777,Claim 92672,Low,Very Low
Truck 3274,Claim 92673,Low,Low
Truck 3281,Claim 92674,Low,Low
Truck 25769,Claim 92675,Low,Low
Truck 11056,Claim 92676,Low,Low
Truck 11032,Claim 92677,Low,Low
Truck 2918,Claim 92678,Low,Low
Truck 39992,Claim 92679,Low,Low
Truck 33200,Claim 92680,Low,Low
Truck 7221,Claim 92681,Low,Very Low
Truck 23125,Claim 92682,Low,Low
Truck 35510,Claim 92683,Low,Very Low
Truck 11,Claim 92684,Low,Very Low
Truck 32285,Claim 92685,Low,Low
Truck 13556,Claim 92686,Low,Low
Truck 23375,Claim 92687,Low,Very Low
Truck 14557,Claim 92688,Low,Low
Truck 26411,Claim 92689,Low,Low
Truck 40939,Claim 92690,Low,Low
Truck 9155,Claim 92691,Low,Very Low
Truck 7051,Claim 92692,Low,Low
Truck 2896,Claim 92693,Low,Low
Truck 2902,Claim 92694,Medium,Low
Truck 32166,Claim 92695,Low,Low
Truck 12651,Claim 92696,Low,Low
Truck 35518,Claim 92697,Low,Low
Truck 3309,Claim 92698,Low,Very Low
Truck 4975,Claim 92699,Low,Low
Truck 35529,Claim 92700,Low,Low
Truck 20447,Claim 92701,Low,Very Low
Truck 20464,Claim 92702,Low,Very Low
Truck 29086,Claim 92703,Low,Low
Truck 674,Claim 92704,Low,Low
Truck 38424,Claim 92705,Low,Low
Truck 7776,Claim 92706,Low,Low
Truck 35807,Claim 92707,Low,Low
Truck 37487,Claim 92708,Low,Low
Truck 287,Claim 92709,Low,Low
Truck 7785,Claim 92710,Low,Low
Truck 19432,Claim 92711,Low,Low
Truck 22722,Claim 92712,Low,Low
Truck 606,Claim 92713,Low,Very Low
Truck 45797,Claim 92714,Medium,Low
Truck 19433,Claim 92715,Low,Low
Truck 36382,Claim 92716,Low,Very Low
Truck 9685,Claim 92717,Low,Low
Truck 28281,Claim 92718,Low,Low
Truck 5391,Claim 92719,Low,Low
Truck 15042,Claim 92720,Low,Low
Truck 2521,Claim 92721,Low,Low
Truck 6256,Claim 92722,Low,Low
Truck 8736,Claim 92723,Low,Low
Truck 1485,Claim 92724,Low,Very Low
Truck 28305,Claim 92725,Low,Very Low
Truck 4744,Claim 92726,Low,Low
Truck 22108,Claim 92727,Low,Low
Truck 12455,Claim 92728,Low,Low
Truck 4836,Claim 92729,Low,Low
Truck 15235,Claim 92730,Low,Low
Truck 27433,Claim 92731,Low,Low
Truck 22495,Claim 92732,Low,Low
Truck 19082,Claim 92733,Low,Low
Truck 23623,Claim 92734,Low,Very Low
Truck 28962,Claim 92735,Low,Very Low
Truck 18634,Claim 92736,Low,Low
Truck 17035,Claim 92737,Low,Very Low
Truck 4008,Claim 92738,Low,Very Low
Truck 7911,Claim 92739,Low,Very Low
Truck 3184,Claim 92740,Low,Very Low
Truck 26802,Claim 92741,Low,Very Low
Truck 24304,Claim 92742,Low,Very Low
Truck 9130,Claim 92743,Low,Very Low
Truck 23962,Claim 92744,Low,Low
Truck 31991,Claim 92745,Low,Very Low
Truck 25352,Claim 92746,Low,Very Low
Truck 6640,Claim 92747,Low,Low
Truck 13806,Claim 92748,Low,Low
Truck 46281,Claim 92749,Low,Low
Truck 31843,Claim 92750,Low,Low
Truck 25807,Claim 92751,Low,Low
Truck 2786,Claim 92752,Low,Very Low
Truck 32438,Claim 92753,Low,Low
Truck 11875,Claim 92754,Low,Very Low
Truck 4464,Claim 92755,Low,Very Low
Truck 34101,Claim 92756,Low,Low
Truck 17475,Claim 92757,Low,Low
Truck 10786,Claim 92758,Low,Low
Truck 15775,Claim 92759,Low,Low
Truck 33253,Claim 92760,Low,Low
Truck 15778,Claim 92761,Low,Low
Truck 9999,Claim 92762,Low,Low
Truck 15777,Claim 92763,Low,Low
Truck 31682,Claim 92764,Low,Low
Truck 21997,Claim 92765,Low,Very Low
Truck 13931,Claim 92766,Low,Low
Truck 23258,Claim 92767,Low,Low
Truck 9576,Claim 92768,Low,Very Low
Truck 29576,Claim 92769,Low,Low
Truck 30236,Claim 92770,Low,Low
Truck 21734,Claim 92771,Low,Low
Truck 11006,Claim 92772,Low,Low
Truck 17747,Claim 92773,Low,Low
Truck 9413,Claim 92774,Low,Low
Truck 34644,Claim 92775,Low,Low
Truck 14075,Claim 92776,Low,Very Low
Truck 16871,Claim 92777,Low,Low
Truck 39639,Claim 92778,Low,Low
Truck 31714,Claim 92779,Low,Low
Truck 19726,Claim 92780,Low,Very Low
Truck 11801,Claim 92781,Low,Low
Truck 39160,Claim 92782,Low,Low
Truck 48193,Claim 92783,Low,Low
Truck 45505,Claim 92784,Low,Low
Truck 24456,Claim 92785,Low,Low
Truck 21216,Claim 92786,Low,Low
Truck 27241,Claim 92787,Low,Low
Truck 34869,Claim 92788,Low,Low
Truck 21435,Claim 92789,Low,Low
Truck 31385,Claim 92790,Low,Low
Truck 1149,Claim 92791,Low,Very Low
Truck 37676,Claim 92792,Medium,Medium
Truck 11487,Claim 92793,Low,Low
Truck 8809,Claim 92794,Low,Low
Truck 8816,Claim 92795,Low,Low
Truck 26539,Claim 92796,Low,Low
Truck 13689,Claim 92797,Low,Low
Truck 3005,Claim 92798,Low,Very Low
Truck 8961,Claim 92799,Low,Low
Truck 18319,Claim 92800,Low,Low
Truck 28401,Claim 92801,Low,Low
Truck 18179,Claim 92802,Low,Low
Truck 46401,Claim 92803,Low,Low
Truck 10758,Claim 92804,Low,Low
Truck 39454,Claim 92805,Low,Low
Truck 26359,Claim 92806,Low,Low
Truck 1829,Claim 92807,Low,Very Low
Truck 38880,Claim 92808,Low,Low
Truck 1843,Claim 92809,Low,Low
Truck 25110,Claim 92810,Low,Low
Truck 39247,Claim 92811,Low,Very Low
Truck 1926,Claim 92812,Low,Low
Truck 31195,Claim 92813,Low,Low
Truck 21121,Claim 92814,Low,Very Low
Truck 21086,Claim 92815,Low,Very Low
Truck 21123,Claim 92816,Low,Very Low
Truck 26804,Claim 92817,Low,Low
Truck 18528,Claim 92818,Low,Low
Truck 11546,Claim 92819,Low,Low
Truck 2770,Claim 92820,Low,Low
Truck 30676,Claim 92821,Low,Low
Truck 9186,Claim 92822,Low,Low
Truck 33464,Claim 92823,Low,Low
Truck 10388,Claim 92824,Low,Low
Truck 36987,Claim 92825,Low,Low
Truck 23927,Claim 92826,Low,Low
Truck 18351,Claim 92827,Low,Low
Truck 898,Claim 92828,Low,Very Low
Truck 169,Claim 92829,Low,Low
Truck 47254,Claim 92830,Low,Low
Truck 9697,Claim 92831,Low,Very Low
Truck 8786,Claim 92832,Low,Low
Truck 34337,Claim 92833,Low,Low
Truck 27570,Claim 92834,Low,Low
Truck 8137,Claim 92835,Low,Very Low
Truck 7052,Claim 92836,Low,Low
Truck 20052,Claim 92837,Low,Low
Truck 10185,Claim 92838,Low,Very Low
Truck 13028,Claim 92839,Low,Low
Truck 21560,Claim 92840,Low,Low
Truck 9916,Claim 92841,Low,Low
Truck 9232,Claim 92842,Low,Very Low
Truck 4359,Claim 92843,Low,Very Low
Truck 29140,Claim 92844,Low,Low
Truck 13806,Claim 92845,Medium,Medium
Truck 29100,Claim 92846,Low,Low
Truck 45038,Claim 92847,Low,Low
Truck 4197,Claim 92848,Low,Low
Truck 20896,Claim 92849,Low,Very Low
Truck 38905,Claim 92850,Low,Low
Truck 10184,Claim 92851,Low,Low
Truck 36561,Claim 92852,Low,Low
Truck 2877,Claim 92853,Low,Low
Truck 7000,Claim 92854,Low,Low
Truck 45227,Claim 92855,Low,Low
Truck 46622,Claim 92856,Low,Low
Truck 23716,Claim 92857,Low,Low
Truck 35099,Claim 92858,Low,Low
Truck 12939,Claim 92859,Low,Low
Truck 3048,Claim 92860,Low,Low
Truck 38613,Claim 92861,Low,Low
Truck 38612,Claim 92862,Low,Low
Truck 48116,Claim 92863,Low,Low
Truck 3057,Claim 92864,Low,Very Low
Truck 23461,Claim 92865,Low,Low
Truck 16657,Claim 92866,Low,Low
Truck 17826,Claim 92867,Low,Low
Truck 26911,Claim 92868,Low,Low
Truck 28290,Claim 92869,Low,Low
Truck 21215,Claim 92870,Low,Low
Truck 824,Claim 92871,Low,Low
Truck 12420,Claim 92872,Low,Low
Truck 46322,Claim 92873,Low,Low
Truck 37645,Claim 92874,Low,Very Low
Truck 18698,Claim 92875,Low,Low
Truck 46786,Claim 92876,Low,Low
Truck 32217,Claim 92877,Low,Low
Truck 20383,Claim 92878,Medium,Medium
Truck 9265,Claim 92879,Low,Low
Truck 14308,Claim 92880,Low,Low
Truck 40585,Claim 92881,Low,Low
Truck 31480,Claim 92882,Low,Low
Truck 9692,Claim 92883,Low,Very Low
